,Subjectivity,Polarity,DataFrame
0,0.201135997,0.025738347,SG
1,0.314166667,0.203333333,MLI
2,0.328571429,0.00702381,Guinea
3,0.1325,0.071803571,IV
4,0.4,0.327083333,BN
5,0.141666667,-0.025052083,BF
6,,,NIG
7,0.13375,0.036041667,GB
8,0.275445326,0.072649815,COG
9,,,CAF
10,0.203125,0.0596875,CH
