,Subjectivity,Polarity,DataFrame
0,0.414617878,0.054569211,NG
1,0.431949502,0.10489888,KN
2,,,SL
3,0.382588437,0.024810531,BW
4,0.577222222,0.28,ZB
5,0,0,GB
6,0.407777093,0.116365412,GH
7,,,MW
8,0.40890786,0.064369637,ZA
9,0.424435109,0.113829668,UG
10,0.426962505,0.076813707,ZW
