,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total
Country Code,BEN,BFA,BWA,CAF,CIV,GAB,GHA,GIN,KEN,LSO,MLI,MRT,MWI,NER,NGA,SDN,SEN,SLE,SWZ,TCD,UGA,ZAF,ZMB,ZWE
Country Name,Benin,Burkina Faso,Botswana,Central African Republic,Ivory Coast,Gabon,Ghana,Guinea,Kenya,Lesotho,Mali,Mauritania,Malawi,Niger,Nigeria,Sudan,Senegal,Sierra Leone,Eswatini,Chad,Uganda,South Africa,Zambia,Zimbabwe
Date,,,,,,,,,,,,,,,,,,,,,,,,
1993,27.986438367,13.280806160000001,70.68221028666667,40.7163985575,35.244758605,72.2336731,0.0,0.0,0.0,0.0,16.86061516772727,0.0,57.044430820909085,0.0,55.334488549999996,0.0,31.29970741357143,0.0,74.45003891,10.89465046,58.295585282727274,81.23929834437499,65.99945323,83.51627189105263
1994,28.727706144000003,13.1365942,71.73286056500001,42.134794235,35.465854644000004,72.76262705368421,0.0,0.0,0.0,0.0,17.297486046181817,0.0,58.46239402272727,0.0,55.278357505,0.0,32.18587875428571,0.0,75.48013305714287,13.003158842857143,59.38968796909091,81.62689876625,66.33317651,83.51996291210526
1995,29.468973921,12.99238224,72.78351084333333,43.5531899125,35.686950683,73.29158100736842,0.0,0.0,0.0,0.0,17.734356924636362,0.0,59.88035722454545,0.0,55.22222646,0.0,33.072050095,0.0,76.51022720428571,15.111667225714285,60.48379065545454,82.014499188125,66.66689979,83.52365393315789
1996,30.210241698,12.84817028,73.83416112166667,44.971585590000004,35.908046722,73.82053496105263,0.0,20.55374908,0.0,0.0,18.171227803090908,0.0,61.29832042636363,0.0,55.166095415,0.0,33.958221435714286,0.0,77.54032135142857,17.220175608571427,61.57789334181818,82.40209961,67.00062307,83.52734495421052
1997,30.951509475,14.130277361428572,74.8848114,46.389981267500005,36.129142761,74.34948891473684,0.0,21.860930575714285,0.0,0.0,18.608098681545453,0.0,62.71628362818181,0.0,55.10996437,0.0,34.84439277642857,0.0,78.57041549857144,19.32868399142857,62.671996028181816,82.9762039190909,67.33434635,83.53103597526315
1998,31.692777252000003,15.412384442857142,75.93546167833334,47.808376945000006,36.3502388,74.87844286842105,0.0,23.16811207142857,0.0,0.0,19.04496956,0.0,64.13424683,0.0,55.053833325,0.0,35.730564117142855,0.0,79.6005096457143,21.437192374285715,63.76609871454546,83.5503082281818,67.66806963,83.53472699631578
1999,32.434045029,16.694491524285716,76.98611195666668,49.2267726225,42.5454998,75.40739682210527,0.0,24.475293567142856,0.0,0.0,20.035975647999997,0.0,63.89886951833333,0.0,54.99770228,0.0,36.616735457857146,0.0,80.63060379285714,23.545700757142857,64.86020140090909,84.12441253727272,68.00179291,83.53841801736841
2000,33.175312806,17.976598605714287,78.036762235,50.6451683,48.7407608,75.93635077578948,57.89746857,25.782475062857145,82.2290802,86.25443268,21.026981736,51.20767975,63.66349220666666,0.0,54.941571235,61.34587097,37.50290679857143,0.0,81.66069794,25.65420914,65.95430408727273,84.69851684636363,68.38426971666667,83.54210903842105
2001,33.916580583000005,19.258705687142857,79.08741251333333,49.255912395,48.094166435,76.46530472947369,59.257428744,27.089656558571427,80.79021562857143,85.09285142888888,22.017987824,50.39283698,63.42811489499999,14.37604046,54.885440190000004,60.36730956875,38.389078139285715,0.0,81.804457095,26.336014272499998,67.04840677363636,85.27262115545454,68.76674652333334,83.54580005947368
2002,34.65784836,20.54081276857143,80.13806279166667,47.866656490000004,47.44757207,76.9942586831579,60.617388918,28.396838054285716,79.35135105714285,83.93127017777778,23.008993912,49.57799421,63.19273758333333,17.95013547,54.829309145,59.3887481675,39.27524948,0.0,81.94821625,27.017819404999997,68.14250946,85.84672546454544,69.14922333,83.54949108052632
